Customer ID,Country,Recency,Monetary,Frequency,Is_Outlier,Segment,Cluster
12357.0,Switzerland,24,12079.99,2,True,Champions,-1
12380.0,Belgium,101,6951.49,7,True,Champions,-1
12409.0,Switzerland,56,12346.62,4,True,Champions,-1
12415.0,Australia,11,19543.84,7,True,Champions,-1
12422.0,Australia,30,4428.24,14,True,Champions,-1
12431.0,Belgium,9,4370.52,13,True,Champions,-1
12433.0,Norway,2,7205.39,5,True,Champions,-1
12435.0,Denmark,32,6096.04,4,True,Champions,-1
12437.0,France,31,7731.99,21,True,Champions,-1
12454.0,Spain,31,13151.44,4,True,Champions,-1
12471.0,Germany,10,20139.74,49,True,Champions,-1
12472.0,Germany,5,11308.48,13,True,Champions,-1
12474.0,Germany,14,5048.66,13,True,Champions,-1
12476.0,Germany,32,7298.99,12,True,Champions,-1
12477.0,Germany,35,7056.63,3,True,Champions,-1
12481.0,Germany,1,6765.07,6,True,Champions,-1
12482.0,Sweden,212,23691.4,29,True,Champions,-1
12490.0,France,14,4405.71,11,True,Champions,-1
12497.0,Germany,36,5205.400000000001,2,True,Champions,-1
12510.0,Spain,95,4195.45,7,True,Champions,-1
12524.0,Germany,24,6640.39,9,True,Champions,-1
12539.0,Spain,86,5646.400000000001,3,True,Champions,-1
12540.0,Spain,14,8854.25,16,True,Champions,-1
12557.0,Spain,7,6725.18,4,True,Champions,-1
12567.0,France,3,4308.58,7,True,Champions,-1
12583.0,France,9,7166.06,13,True,Champions,-1
12589.0,France,57,4048.98,6,True,Champions,-1
12621.0,Germany,1,11086.14,16,True,Champions,-1
12643.0,France,21,5005.78,6,True,Champions,-1
12647.0,Germany,3,14201.53,27,True,Champions,-1
12668.0,Germany,14,7637.53,6,True,Champions,-1
12678.0,France,11,16652.72,9,True,Champions,-1
12681.0,France,3,17080.74,24,True,Champions,-1
12682.0,France,1,11745.69,23,True,Champions,-1
12683.0,France,1,4220.21,8,True,Champions,-1
12705.0,Germany,19,4893.81,5,True,Champions,-1
12709.0,Germany,2,21356.82,20,True,Champions,-1
12714.0,France,24,9384.85,7,True,Champions,-1
12731.0,France,78,6879.8,5,True,Champions,-1
12744.0,Singapore,95,4037.77,4,True,Champions,-1
12747.0,United Kingdom,5,5080.53,16,True,Champions,-1
12748.0,United Kingdom,1,22879.66,144,True,Champions,-1
12755.0,Japan,1,5218.71,10,True,Champions,-1
12758.0,Portugal,95,7111.650000000001,5,True,Champions,-1
12823.0,United Kingdom,30,4742.0,13,True,Champions,-1
12835.0,United Kingdom,63,6043.31,41,True,Champions,-1
12836.0,United Kingdom,25,3972.76,11,True,Champions,-1
12839.0,United Kingdom,3,4480.31,13,True,Champions,-1
12843.0,United Kingdom,18,4886.15,22,True,Champions,-1
12867.0,United Kingdom,33,3876.47,6,True,Champions,-1
12913.0,United Kingdom,4,4217.23,9,True,Champions,-1
12918.0,United Kingdom,262,10953.5,1,True,Champions,-1
12921.0,United Kingdom,2,19333.95,39,True,Champions,-1
12931.0,United Kingdom,16,50291.38,42,True,Champions,-1
12939.0,United Kingdom,15,13683.0,12,True,Champions,-1
12949.0,United Kingdom,18,11359.48,14,True,Champions,-1
12957.0,United Kingdom,177,4689.43,5,True,Champions,-1
12971.0,United Kingdom,2,4782.88,33,True,Champions,-1
12980.0,United Kingdom,22,8870.880000000001,12,True,Champions,-1
12989.0,United Kingdom,60,6627.64,18,True,Champions,-1
13001.0,United Kingdom,40,14353.28,20,True,Champions,-1
13004.0,United Kingdom,22,5994.94,18,True,Champions,-1
13013.0,United Kingdom,7,7814.83,18,True,Champions,-1
13027.0,United Kingdom,21,10423.2,13,True,Champions,-1
13044.0,United Kingdom,128,4293.43,10,True,Champions,-1
13047.0,United Kingdom,9,5557.62,17,True,Champions,-1
13050.0,United Kingdom,2,6507.67,19,True,Champions,-1
13069.0,United Kingdom,5,5247.01,16,True,Champions,-1
13078.0,United Kingdom,2,16904.51,32,True,Champions,-1
13081.0,United Kingdom,7,30867.77,19,True,Champions,-1
13089.0,United Kingdom,4,57912.03,109,True,Champions,-1
13090.0,United Kingdom,1,5192.27,13,True,Champions,-1
13093.0,United Kingdom,9,47111.18,48,True,Champions,-1
13097.0,United Kingdom,24,7378.8,18,True,Champions,-1
13102.0,United Kingdom,1,5272.83,14,True,Champions,-1
13113.0,United Kingdom,2,6379.7699999999995,14,True,Champions,-1
13137.0,United Kingdom,22,4062.29,8,True,Champions,-1
13141.0,United Kingdom,21,5279.83,12,True,Champions,-1
13148.0,United Kingdom,25,4914.6900000000005,14,True,Champions,-1
13157.0,United Kingdom,45,3946.14,5,True,Champions,-1
13162.0,United Kingdom,16,7587.2,12,True,Champions,-1
13174.0,United Kingdom,5,6677.81,10,True,Champions,-1
13178.0,United Kingdom,33,8333.72,10,True,Champions,-1
13199.0,United Kingdom,2,6615.77,30,True,Champions,-1
13206.0,United Kingdom,36,8377.32,13,True,Champions,-1
13225.0,United Kingdom,57,9796.23,9,True,Champions,-1
13267.0,United Kingdom,2,5236.77,18,True,Champions,-1
13316.0,United Kingdom,28,7213.84,6,True,Champions,-1
13317.0,United Kingdom,21,4212.411,13,True,Champions,-1
13319.0,United Kingdom,1,11236.95,34,True,Champions,-1
13327.0,United Kingdom,1,6251.71,14,True,Champions,-1
13329.0,United Kingdom,2,4323.97,7,True,Champions,-1
13340.0,United Kingdom,53,11364.08,5,True,Champions,-1
13373.0,United Kingdom,51,4274.94,3,True,Champions,-1
13381.0,United Kingdom,15,4585.06,6,True,Champions,-1
