,Customer ID,Recency,Monetary,Frequency,Average,Count
0,12346.0,283,230.55,10,1867.5143861460956,3970
1,12349.0,206,1268.52,2,1369.7436363636364,11
2,12355.0,203,488.21000000000004,1,402.985,2
3,12358.0,186,1697.93,2,1341.433,10
4,12359.0,262,1522.23,4,1627.107142857143,7
5,12360.0,199,780.04,3,1341.433,10
6,12361.0,215,207.35000000000002,2,1681.608125,16
7,12362.0,374,130.0,1,1681.608125,16
8,12366.0,269,500.24,1,1627.107142857143,7
9,12368.0,264,917.7,1,1627.107142857143,7
10,12369.0,277,348.32,1,1341.433,10
11,12370.0,260,774.62,3,1341.433,10
12,12371.0,281,607.6800000000001,2,3224.2346153846156,13
13,12373.0,260,763.0500000000001,2,1341.433,10
14,12374.0,224,1388.54,1,1341.433,10
15,12377.0,225,1210.96,1,3224.2346153846156,13
16,12378.0,198,1407.7,1,3224.2346153846156,13
17,12380.0,282,3217.3,3,1681.608125,16
18,12388.0,218,461.62,1,2203.0192857142856,14
19,12389.0,203,563.03,2,2203.0192857142856,14
20,12391.0,233,1902.19,4,1627.107142857143,7
21,12392.0,227,234.75000000000003,1,2203.0192857142856,14
22,12395.0,238,1125.44,1,1681.608125,16
23,12396.0,310,931.4300000000001,1,931.43,1
24,12399.0,280,205.98,1,1681.608125,16
25,12402.0,236,505.35,2,1681.608125,16
26,12404.0,318,63.24,1,1054.2085714285715,7
27,12406.0,232,1629.2,2,5707.903333333334,9
28,12409.0,185,7013.68,2,3224.2346153846156,13
29,12416.0,292,202.56,1,2203.0192857142856,14
30,12417.0,253,1465.95,5,1681.608125,16
31,12418.0,212,879.3100000000001,2,3224.2346153846156,13
32,12422.0,199,2676.34,7,2203.0192857142856,14
33,12424.0,184,446.53999999999996,1,2203.0192857142856,14
34,12426.0,298,762.48,1,3020.825686567164,67
35,12429.0,182,1407.3600000000001,2,5707.903333333334,9
36,12431.0,200,1967.76,5,1681.608125,16
37,12435.0,273,1736.88,2,5707.903333333334,9
38,12437.0,191,4412.02,9,3110.9663829787237,47
39,12439.0,318,1158.18,2,1627.107142857143,7
40,12440.0,353,568.51,1,1341.433,10
